y_true,y_pred,y_text,content,category
3,0,Hello! How can I assist you today?,Nau 195,others
1,6,"Đáp án: 6.
Giải thích: Bình luận của ""Đoàn Thị Cẩm Ly"" không nhắc tên riêng hoặc đặt câu hỏi, không chọn thông số sản phẩm, cũng không chốt đơn hoặc muốn hủy đơn hàng. Bình luận chỉ thể hiện sự thích thú của người đó đối với sản phẩm được bán trong livestream. Do đó, đáp án là 6 - nếu thích sản phẩm.",Đoàn Thị Cẩm Ly,others
2,2,"Đáp án: 2.
Giải thích: Bình luận của ""Liền hay rời hát e"" chứa câu hỏi ""Hàng chuẩn không shop?"" về chất lượng sản phẩm được bán trong livestream. Do đó, đáp án là 2 - nếu đặt câu hỏi.",Liền hay rời hát e,others
2,3,"Đáp án: 3.
Giải thích: Bình luận của ""Vải j vậy ah"" hỏi về thông số kỹ thuật của sản phẩm bị thiếu trên màn hình, chẳng hạn như loại vải sử dụng để sản xuất sản phẩm. Do đó, đáp án là 3 - nếu chọn thông số cho sản phẩm.",Vải j vậy ah,others
3,0,"Đáp án: 0.
Giải thích: Bình luận ""Nau"" không có đủ thông tin để phân tích là nhận xét về tên riêng, câu hỏi, chọn thông số sản phẩm, đã chốt đơn, không thích hoặc thích sản phẩm, muốn hủy đơn hàng hoặc không muốn nhận sản phẩm.",Nau,others
0,0,Đáp án: 0. Không phân tích được. Bình luận này không có nội dung cụ thể để phân tích hoặc có thể là một lỗi đánh máy.,Dhkjbllbklk,others
2,2,"Đáp án: 2. Bình luận này là một câu hỏi, người viết muốn biết liệu người bán có bán sét màu nâu hay không.",Chị có sét nâu chưa vậy,others
2,3,Đáp án: 3. Người bình luận đang yêu cầu xem chi tiết về sản phẩm và tùy chọn với cầm tay (hoặc có thể là tay cầm).,Xem vay cầm tay,others
3,3,"Đáp án: 3.
Giải thích: Bình luận ""13.0"" có thể là việc chọn kích cỡ hoặc số đo của sản phẩm. Việc chọn thông số cho sản phẩm được thể hiện bởi các con số, chẳng hạn như kích cỡ, chiều cao, số đo vòng eo, vòng ngực, v.v. Do đó, đáp án 3 là phù hợp nhất.",13.0,others
3,3,"Đáp án: 3. Bình luận này có thể là chọn thông số cho sản phẩm vì từ ""Lay150k"" có thể hiểu là người bình luận muốn mua sản phẩm này với giá 150.000 đồng. Tuy nhiên, không đủ thông tin để kết luận chính xác và cần xem xét thêm ngữ cảnh bình luận để phân tích rõ hơn.",Lay150k,others
3,3,"Đáp án: 3.
Giải thích: Bình luận ""28.0"" có thể là người xem đang chọn hoặc hỏi về giá của sản phẩm trong livestream, nên đây là hành động chọn thông số cho sản phẩm.",28.0,others
3,5,Đáp án: 5. Bình luận này cho thấy người dùng không thích sản phẩm đang được giới thiệu trong livestream và đang mặc bộ đồ khác.,Sét đang mang,others
0,6,"Đáp án: 6. Bình luận ""Up"" có thể hiểu là người đó thích sản phẩm và muốn ủng hộ người bán bằng cách tăng tương tác cho bình luận hoặc sản phẩm. Tương tự như ""Like"" trên Facebook hoặc ""Heart"" trên Instagram.",Up,others
