y_true,y_pred,y_text,content,category
0,0,"Đáp án: 0. Dấu "".."" không chứa đủ thông tin để phân tích ý nghĩa của bình luận.",..,clothing
3,0,"Đáp án là 0. Bình luận ""Den"" không cung cấp đủ thông tin để phân loại vào bất kỳ một nhãn nào trong các lựa chọn được đưa ra.",Den,clothing
3,3,"Đáp án là 3. Người bình luận muốn chọn thông số cho sản phẩm là màu sắc ""Đen"".",Đen,clothing
3,3,"Đáp án: 3. Người bình luận muốn chọn thông số cho sản phẩm. Bình luận ""Đen"" có thể chỉ ra màu sắc của sản phẩm hoặc yêu cầu cho sản phẩm có màu sắc đen. Tuy nhiên, thông tin trong bình luận chưa đủ để xác định chính xác là người bình luận muốn chọn màu sắc hay chỉ đơn giản là đưa ra ý kiến về màu sắc của sản phẩm.",Đen,clothing
3,3,"Đáp án: 3. Người bình luận muốn chọn thông số cho sản phẩm.
Giải thích: Bình luận chỉ đơn giản là một từ ""đen"" mà không có bất kỳ ngữ cảnh nào khác, do đó không liên quan đến việc nhắc tên riêng, thắc mắc, chốt đơn, nhận sản phẩm hay hủy đơn hàng. Tuy nhiên, từ ""đen"" có thể liên quan đến thông số mà người bình luận muốn chọn cho sản phẩm, có thể là màu sắc hoặc kích cỡ. Vì vậy, đáp án là 3 - muốn chọn thông số cho sản phẩm.",đen,clothing
3,3,"Đáp án 3. Người bình luận muốn chọn thông số cho sản phẩm. ""Ma"" có thể là kích cỡ hoặc size của sản phẩm, còn ""50"" có thể là giá hoặc một thông số khác liên quan đến sản phẩm. Tuy nhiên, để xác định chính xác hơn, cần phải có thêm thông tin về sản phẩm cụ thể.","Ma,50",clothing
0,0,"Đáp án: 0.
Bình luận chỉ có một dấu chấm ""."" và không có bất kỳ thông tin gì để phân tích.",.,clothing
3,3,"Đáp án: 3. Người bình luận đang muốn chọn thông số cho sản phẩm bằng cách đưa ra mã sản phẩm là ""Mã50"".",Mã50,clothing
3,3,"Đáp án: 3. Người bình luận đang muốn chọn thông số cho sản phẩm. Số 51.0 có thể là kích cỡ hoặc giá tiền của sản phẩm. Tuy nhiên, nếu không có thông tin thêm về sản phẩm hoặc ngữ cảnh của bình luận, việc giải thích có thể không chính xác hoặc đầy đủ.",51.0,clothing
3,2,"Bình luận này có khả năng đang muốn chọn thông số cho sản phẩm, có thể là giá sản phẩm hoặc kích cỡ sản phẩm. Số ""51.0"" có thể liên quan đến kích cỡ sản phẩm hoặc giá sản phẩm tùy vào ngữ cảnh của buổi livestream bán hàng.",51.0,clothing
3,1,"Đáp án: 1. Người bình luận đang chia sẻ số điện thoại của mình để liên hệ mua sản phẩm.
Giải thích: Bình luận ""52/0354505977"" chứa số điện thoại có thể là của người bình luận đang muốn liên hệ để mua sản phẩm. Việc chia sẻ số điện thoại có thể là để trao đổi thêm về sản phẩm hoặc để đặt mua sản phẩm.",52/0354505977,clothing
