y_true,y_pred,y_text,content,category
0,0,Hello! How can I assist you today?,khoái nghe chị nc gê1,others
0,2,"Đáp án: 2.
Giải thích: Bình luận ""Còn kem mà vẫn hóng"" không đưa ra ý kiến rõ ràng về sản phẩm hoặc thể hiện sự thích hay không thích sản phẩm. Thay vào đó, nó là một câu hỏi về việc sản phẩm có sẵn hay không. ""Còn kem"" có thể ám chỉ sản phẩm được bán trong livestream hoặc chỉ đơn giản là sản phẩm khác mà người bình luận đang quan tâm. Tuy nhiên, vì câu hỏi không rõ ràng, không có đủ thông tin để xác định xem sản phẩm cụ thể mà bình luận đề cập đến, nên đáp án của câu hỏi này là 2.",Còn kem mà vẫn hóng,others
2,5,"Đáp án: 5.
Giải thích: Bình luận ""Kem sâm hết mụn k c"" không đưa ra ý kiến rõ ràng về việc muốn mua sản phẩm hay không. Thay vào đó, bình luận này chỉ ra rằng sản phẩm kem sâm có thể giúp hết mụn. Tuy nhiên, không rõ ràng liệu người bình luận thích hay không thích sản phẩm này. Do đó, đáp án của câu hỏi này là 5.",Kem sâm hết mụn k c,others
0,1,"Đáp án: 1.
Giải thích: Bình luận ""Thay e k chi"" có thể ám chỉ việc người bình luận muốn đổi sản phẩm hoặc muốn yêu cầu sửa đổi một số thông tin trong đơn hàng. ""E"" có thể là cách viết tắt của từ ""em"" - đại từ chỉ người nữ trẻ, ám chỉ người bình luận hoặc người mà người bình luận muốn nhắc đến. Tuy nhiên, vì không có đủ thông tin để xác định xem người bình luận muốn thay thế sản phẩm nào hoặc yêu cầu sửa đổi thông tin gì, nên đáp án của câu hỏi này là 1.",Thay e k chi,others
6,3,"Đáp án: 3.
Bình luận này đề cập đến thông số sản phẩm, đặc biệt là chất liệu ""cốt bạch"" của sản phẩm và so sánh với chất liệu ""cốt hồng"". Người viết bình luận chia sẻ rằng sau khi sử dụng sản phẩm ""cốt bạch"", sản phẩm của họ vẫn giữ được độ trắng sau 2 ngày và còn trắng hơn so với sản phẩm ""cốt hồng"". Do đó, đáp án 3 là phù hợp với bình luận này.",Cốt bạch xài trắng lắme xài mới 2 ngày mà trắng thấy rõ luôntrắng hơn cốt hồng nhiều1,others
6,6,Đáp án: 6. Người bình luận đang thể hiện sự thích thú và đánh giá tích cực về sản phẩm kem dưỡng trắng da được bán trên livestream.,Kem chị tốt lắm trắng lắm,others
0,6,"Đáp án: 6.
Giải thích: Bình luận này có tính chất khen và hài lòng về sản phẩm, và người bình luận còn thể hiện sự đồng tình với nhãn hiệu bằng cách nói là ""fan cứng"". Do đó, đáp án phù hợp nhất là 6 - Nếu thích sản phẩm.",Được lên fan cứng rồi,others
0,2,Đáp án: 2. Bình luận này đặt câu hỏi về tình trạng của mẹ chị trong một ngữ cảnh không liên quan đến sản phẩm bán hàng.,Mẹ chị ổn chưa,others
0,5,"Đáp án: 5. Người bình luận không thích sản phẩm.
Giải thích: Bình luận ""cưng pa de sợ1"" không liên quan đến sản phẩm, mà là một biểu hiện cảm xúc của người bình luận. Trong trường hợp này, ""cưng pa de sợ1"" có thể hiểu là ""không thích lắm"" hoặc ""không ưng ý"". Do đó, đáp án là 5 - không thích sản phẩm.",cưng pa de sợ1,others
6,5,"Đáp án: 5. Người bình luận không đề cập đến việc mua hay không mua sản phẩm. Thay vào đó, họ đang bày tỏ ý kiến về sản phẩm kem trắng da của chị Tuyền, nhưng không nhất thiết là tích cực. ""Banh nóc luôn"" có thể ám chỉ rằng sản phẩm làm trắng da này là quá mạnh hoặc gây kích ứng.",Kem chị tuyền trắng banh nóc luon,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm, cụ thể là sản phẩm giảm cân sô cô la.",1giam can sôcôla,others
6,6,"Đáp án: 6. Người bình luận thích sản phẩm kem của Tuyền và cho biết rằng sản phẩm đó ""hết sẩy luôn sức là mê"". Đây là một bình luận tích cực về sản phẩm, chứng tỏ người bình luận hài lòng với kem của Tuyền và rất thích sản phẩm này.",Kem của Tuyền là hết sẫy luôn sức là mê,others
6,2,Đáp án: 2. Bình luận này đặt câu hỏi về khả năng đội ngũ nhân viên của cửa hàng có tư vấn và kiểm tra đơn hàng kỹ lưỡng không.,Nv chị ai cũng dạ thưatloi rõ ràngkiểm tra đơn kỹ lắm luôn,others
3,3,"Đáp án: 3. Bình luận này đang chọn thông số cho sản phẩm, cụ thể là đề cập đến sản phẩm ""huyết thanh"" với thông tin sản phẩm bao gồm ""1 hủ đêm trắng bạch"".",1 hủ 1 hủ đêm trắng bạch  huyết thanh,others
2,5,"Đáp án: 5. Người bình luận không thích sản phẩm.
Giải thích: Bình luận này không liên quan đến thông tin sản phẩm, mà chỉ đề cập đến một người tên Sigun và hỏi xem ""sức mặt"" của Sigun có được không. Chưa rõ người bình luận muốn biết về Sigun để làm gì, nhưng không có liên quan đến sản phẩm bán hàng. Tuy nhiên, từ ngữ ""sức mặt"" có thể thấy rằng người bình luận có thể không hài lòng với Sigun, do đó đáp án là 5.",Sigun đó sức mặt đc ko,others
6,2,"Đáp án: 2.
Bình luận này đang đặt câu hỏi về sức mạnh của sản phẩm ""Hủ"" và hỏi liệu sản phẩm có đủ sức mạnh không.",Hủ chị đg sức là siêu mạnh hay trắt bạch chị,others
1,0,"Đáp án: 0. Bình luận ""Salamah Halimah"" không có đủ thông tin để phân tích ý nghĩa hoặc mục đích của nó trong livestream bán hàng.",Salamah Halimah,others
6,6,Đáp án: 6. Người bình luận thể hiện sự thích thú và hài lòng với sản phẩm đã mua.,E mới mua bộ rồi mà giờ thấy quyết thanh thích quá,others
0,5,"Đáp án: 5. Bình luận này không liên quan đến việc đặt hàng hay sản phẩm, mà chỉ nhận xét về ngoại hình của người mẫu hoặc người đang mặc đồ trên livestream. Cụ thể là bình luận về ""dáng yêu"", một nhận xét về vẻ ngoài.",Dáng yêu quá,others
0,0,"Đáp án: 0.
Giải thích: Bình luận ""Bb"" không cung cấp đủ thông tin để phân tích ý nghĩa hoặc mục đích của người bình luận.",Bb,others
2,3,"Đáp án: 3. Người bình luận đang hỏi về giá và thông số của sản phẩm ""Kem vip"" và hỏi người bán hàng đang bán sản phẩm đó với giá bao nhiêu.",Kem vip chi ban ntn chi,others
0,5,"Đáp án: 5. Bình luận này có thể biểu thị ý kiến không tốt về sản phẩm, có thể do sản phẩm không đáp ứng được nhu cầu hoặc chất lượng không tốt. ""Kem xức chiêm không chánh em"" có thể được hiểu là sản phẩm không đáp ứng được nhu cầu hoặc chất lượng không tốt, và người bình luận không hài lòng về sản phẩm.",Kem xức chiêm không chánh em,others
0,0,"Đáp án: 0.
Giải thích: Bình luận không liên quan đến sản phẩm hoặc chủ đề livestream bán hàng, không thuộc bất kỳ nhóm phân tích nào trong danh sách.",Sau e bị cty đuổi c tuyền nhớ thu nhận e nha,others
2,3,"Đáp án: 3. Người bình luận đang hỏi về thông số của sản phẩm kem mắt, có thể là thành phần, công dụng, cách sử dụng hoặc giá cả.",Kem suc mat ha chi,others
2,0,"Không phân tích được.
Bình luận này không liên quan đến sản phẩm hoặc livestream bán hàng, mà có vẻ như là một tin nhắn cá nhân giữa hai người. Nên không thể phân loại vào các nhãn đã cho.",Em lây cốt trắng hồng k lấy trắng bạch được k chị,others
0,5,"Đáp án: 5.
Giải thích: Bình luận ""Nhìn đã gê"" không đặt câu hỏi, không chọn thông số sản phẩm, không đề cập đến việc chốt đơn, không muốn hủy đơn hàng hoặc không muốn nhận sản phẩm, và không có ý thích sản phẩm. Từ ""gê"" có thể hiểu là người bình luận không thích sản phẩm hoặc có cảm giác không thoải mái khi nhìn vào sản phẩm. Do đó, đáp án là 5.",Nhìn đã gê,others
6,6,"Đáp án: 6. Bình luận này thể hiện sự thích thú và khen ngợi sản phẩm ""Kem của chị sức ok lắm"" và nói rằng sản phẩm đã giúp cho chân của người bình luận không bị nứt gót chân nữa.",Kem của chị sức ok lắm hết nứt gót chân luôn đó chị,others
0,6,"Đáp án: 6. Bình luận này thể hiện sự thích thú với sản phẩm, trong trường hợp này là kem Chi và người bình luận khẳng định rằng kem này rất tốt, OK làm.",Kem Chi OK Lam Chi oi,others
2,5,Đáp án: 5. Bình luận này cho thấy người viết không thích giá sản phẩm và cho rằng giá quá cao.,Gia nhieu chi,others
0,0,"Đáp án: 0. Bình luận chỉ chứa một từ ""Hi"" không có ý nghĩa cụ thể hoặc liên quan đến sản phẩm bán hàng. Không thể phân tích được ý đồ của người bình luận từ bình luận này.",Hi,others
