y_true,y_pred,y_text,content,category
3,0,"Đáp án: 0. Bình luận ""56.0"" không cung cấp đủ thông tin để phân tích và đưa ra nhãn phù hợp.",56.0,clothing
3,0,Không thể phân tích được vì bình luận chỉ có số liệu và không có nội dung cụ thể để hiểu ý kiến của người bình luận.,56.0,clothing
3,0,"Đáp án: 0.
Bình luận ""57.0"" không có đủ thông tin để phân tích đúng theo các nhãn đã cho. Nó có thể là một lỗi đánh máy hoặc một bình luận không liên quan đến sản phẩm hoặc chủ đề của livestream.",57.0,clothing
3,3,"Đáp án: 3. Người bình luận đang muốn chọn thông số cho sản phẩm, có thể là size, màu sắc, hoặc các yêu cầu khác về sản phẩm. Bình luận ""57.0"" không rõ ràng nên không thể xác định được thông số cụ thể mà người bình luận muốn chọn.",57.0,clothing
0,0,Đáp án: 0. Bình luận không cung cấp đủ thông tin để phân tích.,.,clothing
0,0,Không phân tích được. Bình luận của người dùng chỉ có hai dấu chấm liên tiếp mà không có nội dung nào để phân tích.,..,clothing
0,0,"Đáp án: 0
Giải thích: Bình luận ""Hú hồn"" không liên quan đến việc nhắc tên riêng, muốn chia sẻ hay muốn đặt thông số cho sản phẩm cũng như không phản ánh việc đã chốt đơn hay nhận được sản phẩm. Nó chỉ là một cảm nhận cá nhân của người bình luận về nội dung của livestream. Do đó, không thể phân loại bình luận này vào bất kỳ nhóm nào trong các lựa chọn đã cho.",Hú hồn,clothing
3,3,"Đáp án: 3.
Giải thích: Bình luận ""58.0"" có thể là việc người bình luận muốn chọn kích cỡ hoặc thông số cho sản phẩm mặc hàng clothing. Số ""58.0"" có thể là kích cỡ, đo lường hoặc thông số khác của sản phẩm. Do đó, đáp án phù hợp nhất là 3 - muốn chọn thông số cho sản phẩm.",58.0,clothing
3,5,"Người bình luận muốn chọn thông số cho sản phẩm. Số 58.0 có thể là thông số liên quan đến sản phẩm như kích cỡ, chiều dài hoặc cân nặng của sản phẩm.",58.0,clothing
2,0,"Đáp án: 0.
Giải thích: Bình luận ""Cai bn"" không mang tính rõ ràng hoặc chứa thông tin đủ để xác định hành động của người bình luận, không phù hợp với bất kỳ nhãn nào trong danh sách.",Cai bn,clothing
