y_true,y_pred,y_text,content,category
0,0,Hello! How can I assist you today?,Giá  mẫu  số kí  thông tinDồn đơn trưa nay sẽ không dồn tiếpKHÔNG KIỂM HÀNG… Xem thêm,clothing
0,1,"Dựa trên yêu cầu của bạn, dưới đây là phân tích các bình luận sau: ""Đặt hàng Mã Màu Số kí Số ĐTTrên cùng 1 tin nhắn.""
Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Có sự yêu cầu về việc đặt hàng, bao gồm mã sản phẩm, màu sắc, số lượng và số điện thoại.
Đáp án: 0. Không phân tích được.
Giải thích: Không có thông tin cụ thể để xác định mục đích hoặc nội dung của bình luận này.
Vui lòng cung cấp thêm ví dụ hoặc thông tin chi tiết nếu bạn muốn phân tích các bình luận khác.",Đặt hàng Mã  Màu Số kí Số ĐTTrên cùng 1 tin nhắn,accessory
4,0,"Dựa trên yêu cầu của bạn, dưới đây là phân tích bình luận sau: ""Hàng tới chị kêu shipper trừ tiền lộn ra nhưng hệ thống shop nói chưa có tin trừ gì bên thảo.""
Đáp án: 0. Không phân tích được.
Giải thích: Bình luận này đang trình bày một tình huống nhưng không cung cấp đủ thông tin để xác định mục đích hoặc nội dung cụ thể.
Vui lòng cung cấp thêm ví dụ hoặc thông tin chi tiết nếu bạn muốn phân tích các bình luận khác.",Hàng tới chị kêu shiper trừ tiền lộn ra nhưng hệ thống shop nói chưa có tin trừ gì bên thảo,clothing
1,1,"Dựa trên yêu cầu của bạn, dưới đây là phân tích bình luận sau: ""Đặt Hàng Mã Màu số Ký SDT chia sẻ bài Tự chốt Đơn.""
Đáp án: 1. Tag tên riêng hoặc chia sẻ bài.
Giải thích: Bình luận này bao gồm việc đặt hàng, đưa ra mã sản phẩm, màu sắc, số lượng, số điện thoại và yêu cầu chia sẻ bài đăng.
Đáp án: 4. Đã chốt đơn.
Giải thích: Bình luận này cho thấy người dùng đã xác nhận và chốt đơn hàng.
Vui lòng cung cấp thêm ví dụ hoặc thông tin chi tiết nếu bạn muốn phân tích các bình luận khác.",Đặt Hàng Mã Màu số Ký SDT chia sẻ bài Tự chốt Đơn,accessory
1,3,"Dựa trên yêu cầu của bạn, dưới đây là phân tích bình luận sau: ""Đặt Hàng Mã Màu SDT trên cùng tin nhắn chia sẻ bài 3 lần giá tốt.""
Đáp án: 1. Tag tên riêng hoặc chia sẻ bài.
Giải thích: Bình luận này yêu cầu chia sẻ bài đăng về sản phẩm 3 lần và có thể đề cập đến việc tag tên riêng.
Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận này đề cập đến việc đặt hàng và yêu cầu cung cấp mã sản phẩm, màu sắc và số điện thoại.
Đáp án: 2. Đặt câu hỏi hoặc đang thắc mắc.
Giải thích: Bình luận này có thể đang đặt câu hỏi hoặc diễn đạt một thắc mắc về sản phẩm, giá cả hoặc quy trình đặt hàng.
Vui lòng cung cấp thêm thông tin chi tiết nếu bạn muốn phân tích các bình luận khác.",Đặt Hàng Mã  Màu  SDT trên cùng tin nhắn chia sẻ bài 3 lần giá tốt2,accessory
1,1,"Dựa trên yêu cầu của bạn, dưới đây là phân tích bình luận sau: ""Chia sẽ mua hàng Giá sỉ Đặt hàng MãMàuSố KíSố ĐTTrên cùng 1 tin nhắn.""
Đáp án: 1. Tag tên riêng hoặc chia sẻ bài.
Giải thích: Bình luận này yêu cầu chia sẻ thông tin về việc mua hàng với giá sỉ và có thể bao gồm việc tag tên riêng hoặc chia sẻ bài đăng.
Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận này đề cập đến việc đặt hàng và yêu cầu cung cấp thông tin như mã sản phẩm, màu sắc, số lượng và số điện thoại.
Vui lòng cung cấp thêm thông tin chi tiết nếu bạn muốn phân tích các bình luận khác.",Chia sẽ mua hàng Giá sỉ Đặt hàng MãMàuSố KíSố ĐTTrên cùng 1 tin nhắn,accessory
4,4,"Dựa trên yêu cầu của bạn, dưới đây là phân tích bình luận sau: ""Jumb đen lúc chiều nếu có thì đi chung đơn của chị luôn khg cần gọi ship luôn em nhé Địa chỉ ship hàng Số 43 đường số 7 Khu dân cư Bình Đăng… Xem thêm.""
Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận này đề cập đến việc yêu cầu mua một sản phẩm cụ thể, màu sắc là ""jumb đen,"" và đề cập đến việc đi chung đơn hàng của chị.
Đáp án: 4. Đã chốt đơn.
Giải thích: Bình luận này đề cập đến việc xác nhận đã chốt đơn hàng và yêu cầu gửi hàng đến địa chỉ cụ thể.
Vui lòng cung cấp thêm thông tin chi tiết nếu bạn muốn phân tích các bình luận khác.",Jumb đen lúc chiều nếu có thì đi chung đơn của chị luôn khg cần gọi ship luôn em nhé  Địa chỉ ship hàngSố 43 đường số 7Khu dân cư Bình Đăng … Xem thêm,others
0,3,"Dựa trên yêu cầu của bạn, dưới đây là phân tích bình luận sau: ""C tặng em 30tr1.""
Đáp án: 0. Không phân tích được.
Giải thích: Bình luận này không rõ ràng và không cung cấp đủ thông tin để xác định loại bình luận.
Vui lòng cung cấp thêm thông tin chi tiết hoặc một câu chuyện liên quan để tôi có thể phân tích bình luận một cách chính xác hơn.",C tặng em 30tr1,fnb
0,2,"Dựa trên yêu cầu của bạn, dưới đây là phân tích bình luận sau: ""Đặt hàng mã sdt trên cùng một tin nhắn 2.""
Đáp án: 0. Không phân tích được.
Giải thích: Bình luận này không rõ ràng và không cung cấp đủ thông tin để xác định loại bình luận. Nó đề cập đến việc đặt hàng với mã và số điện thoại trên cùng một tin nhắn, nhưng không đủ thông tin để xác định ý nghĩa chính xác.
Vui lòng cung cấp thêm thông tin chi tiết hoặc một câu chuyện liên quan để tôi có thể phân tích bình luận một cách chính xác hơn.",Đặt hàng  mã  sdt trên cùng một tin nhắn 2,accessory
4,0,"Dựa trên yêu cầu của bạn, dưới đây là phân tích bình luận sau: ""Chốt hàng: Khách mới - Mã + SĐT Hotline: 0967.673.671… Xem thêm2.""
Đáp án: 4. Đã chốt đơn.
Giải thích: Bình luận này cho biết rằng đơn hàng đã được chốt hoặc xác nhận. Khi khách hàng gửi mã sản phẩm và số điện thoại qua số hotline, việc này thường đồng nghĩa với việc chốt đơn hàng hoặc ghi nhận thông tin đặt hàng.
Vui lòng lưu ý rằng việc phân tích bình luận dựa trên thông tin hiện có và có thể đưa ra kết luận chung dựa trên ngữ cảnh phổ biến. Tuy nhiên, có thể xảy ra trường hợp đặc biệt không thể phân tích đúng theo các nhãn đã đề ra.",Chốt hàng: Khách mới - Mã + SĐTHotline:0967.673.671… Xem thêm2,clothing
