y_true,y_pred,y_text,content,category
0,0,Hello! How can I assist you today?,O,accessory
0,0,"Xin lỗi, tôi không thể phân tích được bình luận của một cuộc livestream bán hàng cụ thể mà không có thông tin cụ thể về nội dung của bình luận đó. Nếu bạn cung cấp thêm thông tin chi tiết, tôi sẽ cố gắng giúp bạn phân tích.",Cybmofx,others
2,2,"Đáp án là 2.
Bình luận ""Chị chưa đc nè"" không đề cập đến việc tag tên riêng hoặc chia sẻ bài, cũng không chọn thông số sản phẩm, không đã chốt đơn, không biểu thị sự thích hay không thích sản phẩm, cũng như không đề cập đến việc muốn xả hàng, hủy đơn hàng hoặc không muốn nhận hàng.
Thay vào đó, bình luận này có thể là một câu hỏi hoặc đang thắc mắc về một vấn đề nào đó liên quan đến sản phẩm hoặc quy trình bán hàng. Tuy nhiên, không có đủ thông tin để chắc chắn về mục đích cụ thể của bình luận này.",Chị chưa đc nè,others
0,0,"Đáp án là 0.
Bình luận ""mm"" không đưa ra đủ thông tin để phân tích mục đích của bình luận trong cuộc livestream bán hàng. Bình luận này có thể chỉ là một biểu hiện sự đồng ý hoặc sự đánh giá tích cực một cách ngắn gọn từ người dùng. Tuy nhiên, không có đủ thông tin để xác định được mục đích cụ thể của bình luận này trong khuôn khổ của cuộc livestream bán hàng.",mm,others
0,0,"Đáp án: 0.
Bình luận ""Chị lai dể thương quá"" không liên quan đến sản phẩm hoặc quá trình bán hàng mà chỉ là một lời nhận xét về ngoại hình của chị bán hàng. Do đó, không thể phân loại bình luận này vào bất kỳ nhãn nào trong danh sách đã cho.",Chị lai dể thương quá,accessory
0,1,"Đáp án: 1. Bình luận này chúc mừng sinh nhật và mong muốn may mắn cho người đăng livestream, không liên quan đến sản phẩm hoặc bán hàng, không đặt câu hỏi, chọn thông số hay liên quan đến đơn hàng.",Chúc Ngọc Anh sinh nhật vui vẻ luôn buôn may bán đắt,grocery
0,0,"Đáp án: 0.
Giải thích: Bình luận này không có liên quan đến sản phẩm hoặc dịch vụ nào cả, không thể phân loại vào các nhãn đã cho.",Chửi cũng có duyên,fnb
0,2,"Đáp án: 2.
Giải thích: Bình luận ""Alo"" không có ý nghĩa gì cả và không thể phân loại vào các nhãn đã đề ra. Tuy nhiên, nó có thể được hiểu là một cuộc gọi hoặc lời chào hỏi từ người xem đến người bán hàng trong livestream, và do đó có thể được xem như một câu hỏi hoặc lời chào hỏi.",Alo,grocery
2,2,Đáp án: 2. Người viết bình luận đang đặt câu hỏi hoặc thắc mắc về tình trạng mạng bên kia có sự cố gì đó khiến cho họ không thể xem livestream bán hàng được.,mạng bên bị gì rôiđó nhàn,fnb
2,2,"Đáp án: 2. Bình luận ""Mình có chưa"" thường được sử dụng để đặt câu hỏi hoặc xác nhận thông tin về sản phẩm, đơn hàng hoặc dịch vụ trong các livestream bán hàng. Có thể khách hàng đang hỏi về tình trạng hàng hóa, giá cả, cách thức đặt hàng, hoặc thông tin khác liên quan đến sản phẩm hoặc dịch vụ.",Mình có chưa,others
0,0,"Đáp án: 0. Không phân tích được. Bình luận ""B bbbjbjj"" không rõ ý nghĩa và không liên quan đến sản phẩm bán hàng nên không thể phân loại vào bất kỳ nhãn nào trong danh sách.",B bbbjbjj,clothing
0,0,"Đáp án: 0. Không phân tích được.
Giải thích: Bình luận không mang ý nghĩa hoặc thông tin gì liên quan đến sản phẩm, do đó không thể phân tích được theo các nhãn đã đề cập.",ZzzzzzZzzz© x x xx x xx zxxxx X z X xx x X z   xX x AZ X,clothing
0,0,"Đáp án: 0.
Giải thích: Bình luận ""Khoa nói hay thế e"" không liên quan đến sản phẩm hay quá trình bán hàng, không có đặc điểm của bất kỳ nhãn phân tích nào được đưa ra.",Khoa nói hay thế e,grocery
0,0,"Đáp án: 0.
Giải thích: Bình luận ""m"" không cung cấp đủ thông tin để phân tích ý nghĩa hoặc mục đích của người dùng, nên không thể xác định được đáp án phù hợp trong các lựa chọn đã cho.",m,clothing
0,0,"Đáp án: 0. Bình luận ""Mmnnnnn"" không có đủ thông tin để phân tích ý nghĩa và mục đích của người dùng.",Mmnnnnn,others
6,6,"Đáp án: 6. Bình luận ""Tang e voi"" có nghĩa là muốn tặng sản phẩm cho người khác, vì vậy đây là một bình luận thể hiện sự thích sản phẩm và có ý định mua sản phẩm để tặng người khác.",Tang e voi,others
6,6,"Đáp án: 6. Bình luận này có tính chất khen ngợi, nói về sự hài lòng với sản phẩm hoặc dịch vụ. ""Bé Nhàn có tâm thiệt"" có thể hiểu là người bán hàng đặt tâm huyết vào sản phẩm hoặc dịch vụ của mình, và khách hàng đánh giá cao điều đó.",Bé nhàn có tâm thiệt,fnb
0,6,"Đáp án: 6. Bình luận ""Xin lộc ông và cậu bé"" có thể hiểu là người bình luận thích sản phẩm hoặc muốn may mắn cho người bán hàng, chứ không đặt câu hỏi, chọn thông số hoặc thể hiện ý kiến không tốt về sản phẩm. Do đó, đáp án là 6 - Nếu thích sản phẩm.",Xin lộc ông và cậu bé,fnb
0,0,"Đáp án: 0.
Bình luận không cung cấp bất kỳ thông tin gì để phân tích theo các nhãn đã cho. Nó chỉ có dấu ba chấm thể hiện sự tiếp tục của một ý kiến hoặc suy nghĩ, mà không nói rõ về nội dung.",...,others
0,3,"Đáp án là 3. Bình luận ""1tr"" có thể là người dùng đang yêu cầu thông số sản phẩm hoặc hỏi về giá sản phẩm. Tuy nhiên, không có đầy đủ thông tin để xác định rõ ràng nên đáp án có thể có sự khả nghi.",1tr,others
0,0,"Đáp án: 0.
Vì trong bình luận chỉ có dấu chấm (.) mà không có nội dung cụ thể nên không thể phân tích được ý nghĩa của bình luận này.",.,others
0,0,"Đáp án: 0.
Giải thích: Không thể phân tích được ý nghĩa của bình luận ""Kjg"" khi không có ngữ cảnh hoặc thông tin thêm về nội dung của livestream bán hàng grocery.",Kjg,grocery
0,0,"Đáp án: 0. Bình luận này không liên quan đến sản phẩm hay bán hàng, mà là một lời nhận xét về độ tuổi của người nói.",Sinh 1971 như còn trẻ lắm,grocery
