y_true,y_pred,y_text,content,category
3,0,Error occurred,Trộn em 2 trắng bạch và 1 bộ face mụn trắng da nha chị,others
2,2,"Đáp án: 2.
Giải thích: Bình luận ""Có thể lấy khử thâm thêm đc hk"" là một câu hỏi hỏi về khả năng mua thêm sản phẩm khử thâm hay không.",Có thể lấy khử thâm thêm đc hk,others
0,0,"Đáp án: 0.
Giải thích: Bình luận ""Hello"" không có thông tin đủ để phân tích ý nghĩa của nó trong ngữ cảnh của livestream bán hàng others. Nó có thể là một lời chào hỏi hoặc chỉ là một bình luận ngẫu nhiên không liên quan đến sản phẩm.",Helllo,others
3,3,"Đáp án: 3.
Giải thích: Bình luận này chọn thông số cho sản phẩm, bao gồm màu sắc và loại kem trang điểm được sử dụng trong livestream bán hàng.",chị ơi em 1 bộ trắng hồng lấy kem trên live ạ,others
6,5,"Đáp án: 5. Người bình luận cho biết rằng họ đã mua sản phẩm cách đây 4 ngày và hiện tại sản phẩm trông rất xuất sắc, tuy nhiên họ không có ý định mua thêm sản phẩm nữa. Chính vì vậy, đây là bình luận không thể xếp vào các trường hợp khác và cũng không đặt câu hỏi, chọn thông số hay chốt đơn hàng.",Mới mua cách đây 4 ngày  Giờ thấy trôn xuất sắc mua thêm xài tới qua tết  Kkk,others
2,5,Đáp án: 5. Người bình luận không thích sản phẩm và đang hỏi xem bộ trắng hồng này có giống sản phẩm kem cũ không.,bộ trắng hồng này có giống kem cũ k chị đẹp,others
0,6,"Đáp án: 6. Người bình luận thể hiện rằng họ rất thích sản phẩm và đã bị ấn tượng bởi nó khi nói ""E mở mắt hết lên lun r"".",E mở mắt hết lên lun r,others
3,3,"Đáp án: 3.
Giải thích: Bình luận này có thể hiểu là người bình luận đang chọn thông số cho sản phẩm mà họ muốn mua. ""Pass"" có thể được hiểu là từ viết tắt của ""password"", tức là mật khẩu để đăng nhập vào hệ thống mua hàng, và ""khoát len"" có thể là thông số sản phẩm mà họ muốn chọn, ví dụ như kích thước hoặc màu sắc của áo len.",Pass khoát len,others
1,1,"Đáp án: 1.
Giải thích: Bình luận này nhắc tên riêng ""Holly Tran"", cho thấy người viết muốn chia sẻ thông tin về một người khác.",Holly Tran,others
1,1,"Đáp án: 1. Bình luận nhắc tên riêng ""Vỹ Dương"" nên được phân loại vào nhãn 1 - Muốn chia sẻ hoặc nhắc tên riêng.",Vỹ Dương,others
2,2,"Đáp án: 2. Người bình luận đặt câu hỏi về giá sản phẩm, muốn biết giá của set đồ được giới thiệu trong livestream.",Sét này bnhiu,others
1,1,"Đáp án: 1. Bình luận này nhắc tới tên riêng ""Hiệp Lê"", có thể là để chào hỏi hoặc để gửi lời chào tới người này.",Hiệp Lê ne a,others
0,5,"Đáp án: 5.
Giải thích: Bình luận ""Thương xinh"" không liên quan đến việc hỏi về sản phẩm, chọn thông số, chốt đơn hay muốn hủy đơn hàng. Tuy nhiên, từ ""thương"" có nghĩa là thích, yêu mến nên bình luận này có thể hiểu là người viết không thích sản phẩm.",Thương xinh,others
0,0,"Đáp án: 0.
Giải thích: Bình luận ""Bên em live trễ ghê"" không thuộc bất kỳ loại bình luận nào trong danh sách đã cho. Nó chỉ là một lời bình luận về việc stream trễ mà không liên quan đến sản phẩm hoặc thông tin đặt hàng.",Bên em live trễ ghê,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm khi nhắc đến ""Set đầm body vằn"", có thể đang quan tâm đến mẫu đầm với kiểu dáng body và họa tiết vằn.",Set đầm body vằn,others
0,0,"Đáp án: 0.
Giải thích: Bình luận này không có nội dung cụ thể, chỉ là việc lặp lại một chuỗi ký tự ""sksisksksks"". Không phân tích được nội dung bình luận và không liên quan đến sản phẩm hay chương trình livestream bán hàng.",Sksisksksks,others
2,2,Đáp án: 2. Bình luận này là một câu hỏi về việc có bán set vằn xanh bơ hay không.,Nãy c có set vằn xanh bơ k e,others
2,2,"Đáp án: 2. Người bình luận đặt câu hỏi về sản phẩm ""quần jean"" nếu chị bán hàng có không.",chị có quần jean kh c,others
3,3,"Đáp án: 3. Bình luận này có tính chất chọn thông số sản phẩm khi chỉ đề cập đến ""set vằn"" mà không đề cập đến việc thích hay không thích sản phẩm, hủy đơn hay chốt đơn.",Set vằn,others
3,3,"Đáp án: 3. Người bình luận đang yêu cầu thông tin về sản phẩm cụ thể là ""set đầm body vằn 215"". Bằng cách này, người bán hàng có thể cung cấp thông tin chính xác về sản phẩm và khuyến khích người bình luận tiếp cận với sản phẩm này.",Set đầm body vằn 215,others
3,2,"Đáp án: 2. Bình luận này là một câu hỏi khi người viết muốn biết thông tin chi tiết về sản phẩm như set đầm này gồm những gì, kích thước ra sao, chất liệu như thế nào, v.v.",Set đâm,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm bằng cách yêu cầu ""Set vằn body"", cho thấy họ quan tâm đến kiểu dáng (vằn) và chất liệu (body) của sản phẩm.",Set vằn body,others
0,0,"Đáp án: 0.
Giải thích: Bình luận ""Zzz"" không có liên quan gì đến sản phẩm hoặc chủ đề của buổi livestream bán hàng, và không thể phân loại vào bất kỳ nhãn nào trong danh sách.",Zzz,others
2,2,"Đáp án: 2. Bình luận này đặt câu hỏi về giá của sản phẩm ""Đầm bao nhiêu ký vua ak"".",Đầm bao nhiêu ký vua ak,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm bằng cách viết tắt ""Bdy van"" để yêu cầu sản phẩm có kiểu dáng vằn body.",Bdy van,others
3,5,"Đáp án: 5. Người bình luận không liên quan đến sản phẩm hoặc bình luận không có ý nghĩa gì về sản phẩm. ""Mèo Tròn"" không phải là một thông số, tên sản phẩm hoặc câu hỏi, và cũng không cho biết người bình luận có thích hay không thích sản phẩm.",Mèo Tròn,others
3,3,"Đáp án: 3. Người bình luận đang đưa ra thông tin về sản phẩm bằng cách chỉ tên một trong những đặc tính của sản phẩm đó là ""sét rằn"".",sét rằn,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm, cụ thể là số lượng sản phẩm và kiểu dáng (""2 Set khoác vằn body"").",2 Set khoác vằn body,others
3,3,"Đáp án: 3. Bình luận này đang chọn thông số sản phẩm khi mua hàng, nhất là về kiểu dáng và màu sắc của sản phẩm (""vet vằn body"").",2 set vet vằn body,others
0,0,Đáp án: 0. Không phân tích được vì bình luận không có ý nghĩa hoặc không rõ ràng.,Sjsjaja,others
0,0,"Đáp án: 0. Không phân tích được.
Giải thích: Bình luận ""Âjanana"" không mang ý nghĩa cụ thể và không có thông tin đủ để phân tích.",Âjanana,others
0,0,"Đáp án: 0. Không phân tích được ý nghĩa của bình luận ""ZnNanan"" vì nó không có nghĩa rõ ràng.",ZnNanan,others
0,0,"Không thể phân tích được ý nghĩa của bình luận ""Mine mbc"" vì không có đủ thông tin để hiểu được người bình luận muốn nói gì.",Mine mbc,others
