y_true,y_pred,y_text,content,category
7,0,Hello! How can I assist you today?,"Xả rum cho c,c sợ 60kg trật nhé",others
7,7,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận ""Thôi chị huỷ luôn nhé"" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 7 vì bình luận cho thấy người dùng muốn hủy đơn hàng hoặc không muốn nhận hàng.",Thôi chị huỷ luôn nhé,others
7,7,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận sau ""Huỷ 33"" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 7 vì bình luận cho thấy người dùng muốn hủy đơn hàng hoặc không muốn nhận hàng.",Huỷ 33,others
7,2,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận sau ""Chi xa b21 nha em"" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 0. Bình luận này không thuộc vào bất kỳ trường hợp nào trong danh sách nhãn được cung cấp. Nó có thể là một tin nhắn cá nhân hoặc không có ý nghĩa rõ ràng để phân tích.",Chi xa b21 nha em,others
7,7,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận sau ""Xả Jum hồi nãy dùm chị nha Linh, phía sau hở chị mặc không được."" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 7 vì bình luận cho thấy người dùng muốn xả hàng hoặc không muốn nhận hàng.","Xả Jum hồi nãy dùm chị nha Linh, phía sau hở chị mặc không được.",others
7,4,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận sau ""Huỷ B40"" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 7 vì bình luận cho thấy người dùng muốn hủy đơn hàng hoặc không muốn nhận hàng.",Huỷ B40,others
7,3,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận sau ""Xã jum xanh dùm c nha"" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 3 vì bình luận cho thấy người dùng đang yêu cầu chọn thông số màu sắc của sản phẩm là ""xanh"".",Xã jum xanh dùm c nha,others
7,7,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận sau ""Xa tui dum e nhé c"" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 7 vì bình luận cho thấy người dùng muốn xả hàng hoặc không muốn nhận hàng.",Xa tui dum e nhé c,others
7,7,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận sau ""Thôi xả jum quẩn dài nha"" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 7 vì bình luận cho thấy người dùng muốn xả hàng hoặc không muốn nhận hàng.",Thôi xả jum quẩn dài nha,others
7,5,"Dựa trên yêu cầu của bạn, tôi sẽ phân tích bình luận sau ""Chị xa quần e nhé .chị 56 cân ko vừa"" trong một livestream bán hàng others. Dựa trên ngữ cảnh cung cấp, đáp án là 3 vì bình luận cho thấy người dùng đang yêu cầu chọn thông số kích cỡ sản phẩm phù hợp với trọng lượng của họ (56 cân).",Chị xa quần e nhé .chị 56 cân ko vừa,others
