y_true,y_pred,y_text,content,category
3,0,Hello! How can I assist you today?,size Á,others
3,2,"Đáp án: 2. Đang thắc mắc về sản phẩm.
Giải thích: Bình luận ""Đầm hoa L 0982857471"" không tag tên riêng hoặc chia sẻ bài, cũng không đặt câu hỏi hoặc thể hiện việc đã chốt đơn hoặc không thích sản phẩm. Bình luận chỉ đề cập đến tên sản phẩm và một số số điện thoại, cho thấy người bình luận có thắc mắc hoặc quan tâm đến sản phẩm ""Đầm hoa"" và có ý định liên hệ qua số điện thoại đó. Vì vậy, đáp án là 2 - Đang thắc mắc về sản phẩm.",Đầm hoa L 0982857471,clothing
3,3,"Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận ""Quần dài trắng 19kg"" không tag tên riêng hoặc chia sẻ bài, cũng không đặt câu hỏi hoặc thể hiện việc đã chốt đơn hoặc không thích sản phẩm. Thay vào đó, bình luận mô tả sản phẩm ""Quần dài trắng"" và đề cập đến thông số kỹ thuật ""19kg"". Điều này cho thấy người bình luận đang chọn và quan tâm đến thông số của sản phẩm, có thể là khối lượng hoặc kích cỡ quần. Vì vậy, đáp án là 3 - Chọn thông số cho sản phẩm.",Quần dài trắng 19kg,clothing
3,3,"Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận ""Cặp size 4"" không tag tên riêng hoặc chia sẻ bài, cũng không đặt câu hỏi hoặc thể hiện việc đã chốt đơn hoặc không thích sản phẩm. Thay vào đó, bình luận chỉ đề cập đến sản phẩm ""Cặp"" và thông số ""size 4"". Điều này cho thấy người bình luận đang chọn kích cỡ cho sản phẩm cặp, có mong muốn mua cặp với size 4. Vì vậy, đáp án là 3 - Chọn thông số cho sản phẩm.",Cặp size 4,clothing
3,5,"Đáp án: 5. Không thích sản phẩm.
Giải thích: Bình luận ""Xanh gởi được mới nhé em"" không tag tên riêng hoặc chia sẻ bài, cũng không đặt câu hỏi hoặc thể hiện việc đã chốt đơn hoặc chọn thông số sản phẩm. Tuy nhiên, bình luận cho thấy người bình luận có ý kiến không thích về sản phẩm bằng cách đề cập đến màu sắc ""xanh"" và yêu cầu sản phẩm phải là ""mới"". Do đó, đáp án là 5 - Không thích sản phẩm.",Xanh gởi được mới nhé em,others
3,3,"Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận ""Em 2 bộ 8kg 1 bộ 11kg"" không tag tên riêng hoặc chia sẻ bài, cũng không đặt câu hỏi hoặc thể hiện việc đã chốt đơn hoặc không thích sản phẩm. Thay vào đó, bình luận mô tả việc lựa chọn sản phẩm theo số lượng và khối lượng. Người bình luận muốn mua 2 bộ với khối lượng 8kg và 1 bộ với khối lượng 11kg. Do đó, đáp án là 3 - Chọn thông số cho sản phẩm.",Em 2 bộ 8kg 1 bộ 11kg,clothing
3,3,"Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận ""1299.0"" không tag tên riêng hoặc chia sẻ bài, cũng không đặt câu hỏi hoặc thể hiện việc đã chốt đơn hoặc không thích sản phẩm. Tuy nhiên, bình luận chỉ đưa ra một con số ""1299.0"" mà không có ngữ cảnh rõ ràng. Dựa vào thông tin có sẵn, không thể xác định chính xác ý nghĩa của con số này. Tuy nhiên, có thể suy đoán rằng đó có thể là giá tiền hoặc một thông số liên quan đến sản phẩm. Vì vậy, đáp án là 3 - Chọn thông số cho sản phẩm.",1299.0,others
3,3,"Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận ""XS"" không tag tên riêng hoặc chia sẻ bài, cũng không đặt câu hỏi hoặc thể hiện việc đã chốt đơn hoặc không thích sản phẩm. Tuy nhiên, ""XS"" được đề cập trong bình luận là một thông số kích cỡ. ""XS"" thường đề cập đến kích cỡ nhỏ nhất trong hệ thống kích cỡ quần áo, áp dụng cho những người có kích cỡ nhỏ hơn. Vì vậy, đáp án là 3 - Chọn thông số cho sản phẩm.",XS,others
3,0,"Đáp án: 0. Không phân tích được.
Giải thích: Bình luận ""901084002.0"" không cho thấy bất kỳ thông tin rõ ràng nào liên quan đến các hành vi như tag tên riêng, chia sẻ bài, đặt câu hỏi, chọn thông số, chốt đơn, thích hoặc không thích sản phẩm, xả hàng, hủy đơn hàng, hoặc không muốn nhận hàng. Con số này có thể là một mã số, số điểm, hoặc một thông tin khác không liên quan đến phân tích bình luận theo các nhãn đã cho. Do đó, đáp án là 0 - Không phân tích được.",901084002.0,clothing
3,3,"Đáp án: 3. Chọn thông số cho sản phẩm.
Giải thích: Bình luận ""X1"" không tag tên riêng hoặc chia sẻ bài, cũng không đặt câu hỏi hoặc thể hiện việc đã chốt đơn hoặc không thích sản phẩm. Tuy nhiên, ""X1"" được đề cập trong bình luận có thể là một thông số, mô tả hoặc mã chủng loại của sản phẩm. Tuy không đủ thông tin để xác định rõ ràng ý nghĩa cụ thể, nhưng có thể suy ra rằng ""X1"" có thể ám chỉ một loại sản phẩm hoặc một thuộc tính cụ thể của sản phẩm. Vì vậy, đáp án là 3 - Chọn thông số cho sản phẩm.",X1,others
