y_true,y_pred,y_text,content,category
3,0,Hello! How can I assist you today?,size á,others
3,7,"Đáp án: 7. Khách hàng này muốn liên lạc với người bán hàng để đặt câu hỏi hoặc yêu cầu hủy đơn hàng, vì vậy số điện thoại được để lại có thể là để khách hàng liên hệ.",Dam hoa l 0982857471,clothing
3,3,"Đáp án: 3. Khách hàng đang chọn kích thước cho sản phẩm quần dài trắng, và số 19kg có thể là thông số cân nặng của sản phẩm hoặc là một lỗi nhập liệu. Tuy nhiên, thông số này không có ý nghĩa đối với quần dài trắng, vì vậy nó có thể là một bình luận không hợp lý.",quan dai trang 19kg,clothing
3,3,"Đáp án: 3. Khách hàng đang chọn kích thước cho sản phẩm là một cặp, và ""sz4"" có thể là mã kích thước hoặc kích thước sản phẩm. Tuy nhiên, không có đủ thông tin để xác định chính xác nó là gì, vì vậy đáp án này là dự đoán có thể.",Cặp sz4,clothing
3,2,"Đáp án: 2.
Giải thích: Bình luận này đang đặt câu hỏi hoặc thắc mắc về sản phẩm. Khách hàng muốn xác nhận với người bán rằng sản phẩm màu xanh có thể được gửi đi được hay không.",Xanh gởi đc mới nhe e,others
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm, cụ thể là đang chọn kích cỡ của sản phẩm bằng cách đưa ra trọng lượng của từng bộ quần áo.",E 2 bộ 8kg 1 bộ 11kg,clothing
3,3,Đáp án: 3. Người bình luận đang chọn thông số giá cho sản phẩm. Số 1299.0 có thể là giá bán hoặc giá khuyến mãi cho sản phẩm được giới thiệu trong livestream bán hàng.,1299.0,others
3,3,Đáp án: 3. Bình luận này có thể là việc chọn thông số kích cỡ của sản phẩm là XS.,XS,others
3,3,"Đáp án: 3.
Giải thích: Bình luận này có thể là thông số sản phẩm, chẳng hạn như mã sản phẩm, số lượng sản phẩm trong lô, giá bán, v.v. Trong trường hợp này, ""901084002.0"" có thể là mã sản phẩm hoặc giá bán của sản phẩm. Do đó, đáp án là 3 - chọn thông số cho sản phẩm.",901084002.0,clothing
3,3,"Đáp án: 3.
Giải thích: Bình luận ""X1"" có thể liên quan đến việc chọn thông số cho sản phẩm, chẳng hạn như kích cỡ hoặc màu sắc của sản phẩm. Tuy nhiên, nếu không có thông tin bổ sung hoặc ngữ cảnh rõ ràng hơn thì không thể xác định chính xác ý nghĩa của bình luận này.",X1,others
3,5,"Đáp án: 5.
Giải thích: Bình luận ""Thảm hoàng gia dồn"" không đưa ra bất kỳ thông tin liên quan đến việc mua bán hay tư vấn sản phẩm nào. Thay vào đó, đó là một mô tả về sản phẩm mà người dùng thấy không thích. Do đó, đáp án sẽ là 5 - nếu không thích sản phẩm.",Thảm hoàng gia dồn,grocery
3,3,"Đáp án: 3. Người dùng đang chọn màu sắc cho sản phẩm. ""Màu đỏ"" là thông số được chọn để ám chỉ màu sắc sản phẩm.",Mau do,clothing
3,3,"Đáp án: 3. Người bình luận đang chọn thông số cho sản phẩm, đó là màu trắng và size L.",Trắng l,clothing
3,3,Đáp án: 3. Khách hàng đang chọn thông số cho sản phẩm bằng cách yêu cầu size hoặc trọng lượng sản phẩm.,Bé 27ký nha shop,clothing
3,3,"Đáp án: 3.
Giải thích: Bình luận ""61.0"" có thể là người xem đang chọn thông số cho sản phẩm, có thể là giá hoặc trọng lượng sản phẩm đó. Do đó, đáp án là 3 - chọn thông số cho sản phẩm.",61.0,fnb
3,3,"Đáp án: 3.
Giải thích: Bình luận này đang chọn thông số cho sản phẩm là ""khoác da"" với giá 285.000 đồng.",khoác da QC 285k2,others
3,2,"Đáp án: 2.
Giải thích: ""Nai 9"" không phải là một câu hỏi và cũng không chứa thông tin để chọn sản phẩm, chốt đơn, thể hiện sự thích hay không thích sản phẩm. Đây có thể là một bình luận của khách hàng để hỏi về thông tin sản phẩm hoặc đưa ra ý kiến của họ về sản phẩm. Tuy nhiên, câu này cũng có thể không rõ ràng và không đủ thông tin để xác định chính xác mục đích của khách hàng.",Nai 9,clothing
3,3,"Đáp án: 3. Bình luận này đang chọn thông số cụ thể của sản phẩm, đó là trọng lượng của quần.",Quần 17 ký,clothing
3,1,"Đáp án: 1. Bình luận ""Chị nhụy hoa nghệ tây"" có thể là một tag tên riêng của chủ livestream hoặc là một lời chia sẻ bài viết của chủ livestream.",Chị nhụy hoa nghệ tây,others
3,7,"Đáp án: 7. Bình luận ""Thảm 1k dồn đơn"" có thể hiểu là người đăng muốn mua sản phẩm ""thảm"" với giá 1.000 đồng và yêu cầu đặt hàng ngay lập tức, có thể vì sản phẩm này đang được giảm giá hoặc có số lượng có hạn. Tuy nhiên, người đăng không cụ thể đề cập đến thông tin sản phẩm, chỉ nêu giá tiền và yêu cầu đặt hàng, do đó có thể không có đủ thông tin để phân tích rõ ràng.",Thảm 1k dồn đơn,grocery
