,Label
0,Negative
1,Negative
2,Neutral
3,Negative
4,Negative.
5,Positive
6,Negative
7,Neutral
8,Nhãn: Negative.
9,Neutral
10,Negative
11,Negative
12,Unknown
13,Neutral
14,Không biết
15,Không biết
16,Neutral
17,Không biết
18,Neutral
19,Negative
20,Negative
21,Không biết
22,Unknown
23,"Nhãn câu ""Sống chậm th"": Neutral"
24,Negative
25,Positive
26,Nhãn: Positive
27,Negative
28,Negative
29,Negative
30,Neutral.
31,Nhãn câu: Negative.
32,Negative
33,Negative
34,Negative
35,Negative
36,Positive.
37,Negative.
38,Neutral
39,Neutral
40,Negative
41,Nhãn: Positive
42,Nhãn: Positive
43,Negative.
44,Negative.
45,Negative
46,Neutral
47,Negative
48,Negative
49,Negative
